policy_category,mean,std,min,max,count
Low Restriction,1.4350879038514641,0.6820005927470227,1,3,76049
Moderate Restriction,1.4851715619740484,0.7084149164343955,1,3,294704
High Restriction,1.4641003460207613,0.6908627636261622,1,3,2312
